id,height,weight,position,firstseason,lastseason,games,pts,reb,ast,stl,fga,fgm,fta,ftm
RAMBIKU01,203,97,F,1981,1994,880,4603,4961,931,761,3376,1802,1450,999
RAMOSPE01,221,125,C,2004,2004,6,11,4,0,0,10,5,2,1
RAMSECA01,193,91,F,1959,1960,13,103,73,12,0,107,41,37,21
RAMSEFR01,190,86,F,1954,1963,623,8378,3410,1134,0,7382,2949,3083,2480
RAMSERA01,188,75,G,1948,1948,2,2,0,0,0,1,0,2,2
RANDAMA01,203,107,F,1991,1994,127,332,160,56,24,289,128,98,70
RANKWA01,198,100,F,1980,1980,25,55,30,17,7,57,21,28,13
RANSEKE01,185,77,G,1980,1985,474,5380,901,2480,472,4861,2207,1209,946
RANZISA01,185,84,G,1951,1951,39,86,39,25,0,90,30,37,26
RASMUBL01,213,113,C,1985,1992,532,5119,3006,467,210,4767,2248,801,614
RATKOGE01,198,100,F,1949,1954,343,3141,1937,791,0,2687,999,1698,1143
RATLEED01,198,88,G,1973,1977,338,2813,1363,896,430,2554,1160,614,493
RATLIMI01,208,104,C,1972,1973,60,241,194,38,0,235,98,84,45
RAUTILE01,203,98,F,1983,1984,32,48,35,32,9,60,21,10,6
RayAl01,188,86,G,2006,2006,47,290,69,43,20,259,100,55,42
RAYCL01,206,104,C,1971,1980,784,5821,6953,1728,501,4450,2333,1963,1155
RAYDO01,196,86,F,1949,1949,61,364,0,60,0,403,130,149,104
RAYJA01,203,98,F,1980,1982,103,334,228,76,38,318,136,97,61
RAYJI01,184,82,G,1956,1959,8,9,5,5,0,17,3,5,3
RAYMOCR01,211,107,C,1968,1972,27,55,68,8,0,64,22,17,11
REACO01,190,79,G,1953,1953,20,23,31,16,0,43,9,16,5
REBRAZE01,211,109,C,2001,2005,215,1276,688,88,57,926,488,379,300
RECASEL01,190,86,G,1994,2001,296,1732,534,522,129,1478,629,265,235
REDDOFR01,196,88,F,1953,1953,7,13,9,0,0,6,5,4,3
REDMOMA01,198,85,G,1978,1979,77,499,161,77,32,525,222,84,55
REEDHU01,206,98,C,1958,1964,479,2618,2449,367,0,2481,1081,630,456
REEDJU01,201,109,F,2004,2006,135,472,186,68,31,431,174,165,124
REEDRO01,196,93,F,1965,1966,118,951,762,173,0,1124,409,233,133
